class,filename,height,width,xmax,xmin,ymax,ymin
shoulder1,05_01573.jpg,76,76,113,87,146,120
shoulder2,05_01573.jpg,76,76,184,158,132,106
head,05_01574.jpg,60,60,167,107,170,110
shoulder1,05_01574.jpg,76,76,114,88,147,121
shoulder2,05_01574.jpg,76,76,185,159,133,107
head,05_01575.jpg,60,60,167,107,172,112
shoulder1,05_01575.jpg,76,76,114,88,148,122
shoulder2,05_01575.jpg,76,76,186,160,135,109
head,05_01576.jpg,60,60,166,106,176,116
shoulder1,05_01576.jpg,76,76,114,88,150,124
shoulder2,05_01576.jpg,76,76,186,160,137,111
head,05_01577.jpg,60,60,163,103,180,120
shoulder1,05_01577.jpg,76,76,115,89,155,129
shoulder2,05_01577.jpg,76,76,186,160,139,113
head,05_01578.jpg,60,60,158,98,183,123
shoulder1,05_01578.jpg,76,76,115,89,159,133
shoulder2,05_01578.jpg,76,76,185,159,141,115
head,05_01579.jpg,60,60,153,93,188,128
shoulder1,05_01579.jpg,76,76,114,88,162,136
shoulder2,05_01579.jpg,76,76,184,158,143,117
head,05_01580.jpg,60,60,148,88,193,133
shoulder1,05_01580.jpg,76,76,112,86,165,139
shoulder2,05_01580.jpg,76,76,182,156,147,121
head,05_01581.jpg,60,60,146,86,195,135
shoulder1,05_01581.jpg,76,76,110,84,167,141
shoulder2,05_01581.jpg,76,76,181,155,151,125
head,05_01666.jpg,60,60,141,81,246,186
shoulder1,05_01666.jpg,76,76,99,73,237,211
shoulder2,05_01666.jpg,76,76,150,124,180,154
head,05_01667.jpg,60,60,143,83,246,186
shoulder1,05_01667.jpg,76,76,100,74,236,210
shoulder2,05_01667.jpg,76,76,153,127,180,154
head,05_01668.jpg,60,60,148,88,240,180
shoulder1,05_01668.jpg,76,76,105,79,231,205
shoulder2,05_01668.jpg,76,76,155,129,174,148
head,05_01669.jpg,60,60,153,93,232,172
shoulder1,05_01669.jpg,76,76,110,84,226,200
shoulder2,05_01669.jpg,76,76,158,132,166,140
head,05_01670.jpg,60,60,156,96,220,160
shoulder1,05_01670.jpg,76,76,112,86,216,190
shoulder2,05_01670.jpg,76,76,163,137,158,132
head,05_01677.jpg,60,60,147,87,173,113
shoulder1,05_01677.jpg,76,76,115,89,182,156
shoulder2,05_01677.jpg,76,76,144,118,112,86
head,05_01678.jpg,60,60,149,89,163,103
shoulder1,05_01678.jpg,76,76,119,93,175,149
shoulder2,05_01678.jpg,76,76,144,118,104,78
head,05_01681.jpg,60,60,156,96,139,79
shoulder1,05_01681.jpg,76,76,127,101,160,134
shoulder2,05_01681.jpg,76,76,153,127,88,62
head,05_01682.jpg,60,60,157,97,135,75
shoulder1,05_01682.jpg,76,76,130,104,157,131
shoulder2,05_01682.jpg,76,76,153,127,84,58
head,05_01722.jpg,60,60,142,82,148,88
shoulder1,05_01722.jpg,76,76,93,67,132,106
shoulder2,05_01722.jpg,76,76,168,142,117,91
head,05_01723.jpg,60,60,142,82,145,85
shoulder1,05_01723.jpg,76,76,93,67,131,105
shoulder2,05_01723.jpg,76,76,168,142,117,91
head,05_01739.jpg,60,60,144,84,142,82
shoulder1,05_01739.jpg,76,76,94,68,130,104
shoulder2,05_01739.jpg,76,76,168,142,112,86
head,05_01740.jpg,60,60,143,83,142,82
shoulder1,05_01740.jpg,76,76,93,67,129,103
shoulder2,05_01740.jpg,76,76,168,142,113,87
head,05_01745.jpg,60,60,142,82,137,77
shoulder1,05_01745.jpg,76,76,93,67,125,99
shoulder2,05_01745.jpg,76,76,168,142,112,86
head,05_01746.jpg,60,60,142,82,137,77
shoulder1,05_01746.jpg,76,76,93,67,125,99
shoulder2,05_01746.jpg,76,76,168,142,111,85
head,05_01751.jpg,60,60,142,82,137,77
shoulder1,05_01751.jpg,76,76,93,67,125,99
shoulder2,05_01751.jpg,76,76,168,142,112,86
head,05_01752.jpg,60,60,142,82,134,74
shoulder1,05_01752.jpg,76,76,93,67,125,99
shoulder2,05_01752.jpg,76,76,168,142,111,85
head,05_01753.jpg,60,60,142,82,135,75
shoulder1,05_01753.jpg,76,76,93,67,125,99
shoulder2,05_01753.jpg,76,76,168,142,111,85
head,05_01754.jpg,60,60,143,83,136,76
shoulder1,05_01754.jpg,76,76,93,67,125,99
shoulder2,05_01754.jpg,76,76,168,142,111,85
head,05_01755.jpg,60,60,143,83,136,76
shoulder1,05_01755.jpg,76,76,93,67,125,99
shoulder2,05_01755.jpg,76,76,168,142,111,85
head,05_01761.jpg,60,60,147,87,137,77
shoulder1,05_01761.jpg,76,76,96,70,124,98
shoulder2,05_01761.jpg,76,76,171,145,114,88
head,05_01762.jpg,60,60,147,87,137,77
shoulder1,05_01762.jpg,76,76,97,71,124,98
shoulder2,05_01762.jpg,76,76,172,146,114,88
head,05_01763.jpg,60,60,147,87,137,77
shoulder1,05_01763.jpg,76,76,97,71,124,98
shoulder2,05_01763.jpg,76,76,172,146,113,87
head,05_01764.jpg,60,60,147,87,137,77
shoulder1,05_01764.jpg,76,76,97,71,124,98
shoulder2,05_01764.jpg,76,76,172,146,112,86
head,05_01765.jpg,60,60,146,86,137,77
shoulder1,05_01765.jpg,76,76,97,71,123,97
shoulder2,05_01765.jpg,76,76,172,146,113,87
head,05_01766.jpg,60,60,146,86,136,76
shoulder1,05_01766.jpg,76,76,96,70,123,97
shoulder2,05_01766.jpg,76,76,172,146,114,88
head,05_01767.jpg,60,60,145,85,136,76
shoulder1,05_01767.jpg,76,76,95,69,124,98
shoulder2,05_01767.jpg,76,76,171,145,113,87
head,05_01768.jpg,60,60,145,85,137,77
shoulder1,05_01768.jpg,76,76,94,68,122,96
shoulder2,05_01768.jpg,76,76,170,144,115,89
head,05_01770.jpg,60,60,143,83,134,74
shoulder1,05_01770.jpg,76,76,93,67,123,97
shoulder2,05_01770.jpg,76,76,169,143,114,88
head,05_01771.jpg,60,60,143,83,135,75
shoulder1,05_01771.jpg,76,76,93,67,123,97
shoulder2,05_01771.jpg,76,76,169,143,114,88
head,05_01772.jpg,60,60,143,83,136,76
shoulder1,05_01772.jpg,76,76,93,67,124,98
shoulder2,05_01772.jpg,76,76,169,143,114,88
head,05_01773.jpg,60,60,143,83,136,76
shoulder1,05_01773.jpg,76,76,93,67,123,97
shoulder2,05_01773.jpg,76,76,169,143,115,89
head,05_01774.jpg,60,60,143,83,134,74
shoulder1,05_01774.jpg,76,76,93,67,123,97
shoulder2,05_01774.jpg,76,76,169,143,114,88
head,05_01775.jpg,60,60,143,83,135,75
shoulder1,05_01775.jpg,76,76,93,67,123,97
shoulder2,05_01775.jpg,76,76,169,143,115,89
head,05_01776.jpg,60,60,143,83,139,79
shoulder1,05_01776.jpg,76,76,93,67,124,98
shoulder2,05_01776.jpg,76,76,169,143,115,89
head,05_01779.jpg,60,60,143,83,141,81
shoulder1,05_01779.jpg,76,76,94,68,126,100
shoulder2,05_01779.jpg,76,76,169,143,115,89
head,05_01780.jpg,60,60,144,84,142,82
shoulder1,05_01780.jpg,76,76,94,68,126,100
shoulder2,05_01780.jpg,76,76,170,144,116,90
head,05_01781.jpg,60,60,144,84,142,82
shoulder1,05_01781.jpg,76,76,93,67,126,100
shoulder2,05_01781.jpg,76,76,169,143,116,90
head,05_01782.jpg,60,60,143,83,139,79
shoulder1,05_01782.jpg,76,76,93,67,125,99
shoulder2,05_01782.jpg,76,76,169,143,116,90
head,05_01783.jpg,60,60,143,83,141,81
shoulder1,05_01783.jpg,76,76,93,67,126,100
shoulder2,05_01783.jpg,76,76,169,143,116,90
head,05_01784.jpg,60,60,143,83,142,82
shoulder1,05_01784.jpg,76,76,93,67,127,101
shoulder2,05_01784.jpg,76,76,169,143,116,90
head,05_01785.jpg,60,60,143,83,142,82
shoulder1,05_01785.jpg,76,76,93,67,127,101
shoulder2,05_01785.jpg,76,76,169,143,116,90
head,05_01786.jpg,60,60,143,83,142,82
shoulder1,05_01786.jpg,76,76,93,67,127,101
shoulder2,05_01786.jpg,76,76,168,142,116,90
head,05_01787.jpg,60,60,143,83,142,82
shoulder1,05_01787.jpg,76,76,93,67,127,101
shoulder2,05_01787.jpg,76,76,169,143,116,90
head,05_01788.jpg,60,60,143,83,142,82
shoulder1,05_01788.jpg,76,76,93,67,127,101
shoulder2,05_01788.jpg,76,76,169,143,116,90
head,05_01789.jpg,60,60,143,83,140,80
shoulder1,05_01789.jpg,76,76,93,67,126,100
shoulder2,05_01789.jpg,76,76,169,143,116,90
head,05_01790.jpg,60,60,143,83,141,81
shoulder1,05_01790.jpg,76,76,93,67,126,100
shoulder2,05_01790.jpg,76,76,169,143,116,90
head,05_01791.jpg,60,60,143,83,139,79
shoulder1,05_01791.jpg,76,76,93,67,126,100
shoulder2,05_01791.jpg,76,76,169,143,115,89
head,05_01792.jpg,60,60,142,82,138,78
shoulder1,05_01792.jpg,76,76,93,67,125,99
shoulder2,05_01792.jpg,76,76,169,143,115,89
head,05_01793.jpg,60,60,142,82,136,76
shoulder1,05_01793.jpg,76,76,93,67,125,99
shoulder2,05_01793.jpg,76,76,169,143,115,89
head,05_01794.jpg,60,60,142,82,136,76
shoulder1,05_01794.jpg,76,76,93,67,125,99
shoulder2,05_01794.jpg,76,76,169,143,115,89
head,05_01795.jpg,60,60,142,82,136,76
shoulder1,05_01795.jpg,76,76,93,67,126,100
shoulder2,05_01795.jpg,76,76,169,143,114,88
head,05_01796.jpg,60,60,142,82,137,77
shoulder1,05_01796.jpg,76,76,93,67,126,100
shoulder2,05_01796.jpg,76,76,169,143,114,88
head,05_01797.jpg,60,60,141,81,137,77
shoulder1,05_01797.jpg,76,76,93,67,127,101
shoulder2,05_01797.jpg,76,76,168,142,114,88
head,05_01798.jpg,60,60,142,82,139,79
shoulder1,05_01798.jpg,76,76,93,67,128,102
shoulder2,05_01798.jpg,76,76,168,142,114,88
head,05_01799.jpg,60,60,141,81,141,81
shoulder1,05_01799.jpg,76,76,94,68,129,103
shoulder2,05_01799.jpg,76,76,169,143,115,89
head,05_01800.jpg,60,60,141,81,142,82
shoulder1,05_01800.jpg,76,76,94,68,129,103
shoulder2,05_01800.jpg,76,76,168,142,116,90
head,05_01801.jpg,60,60,141,81,139,79
shoulder1,05_01801.jpg,76,76,94,68,130,104
shoulder2,05_01801.jpg,76,76,169,143,114,88
head,05_01805.jpg,60,60,141,81,143,83
shoulder1,05_01805.jpg,76,76,98,72,135,109
shoulder2,05_01805.jpg,76,76,168,142,115,89
head,05_01806.jpg,60,60,141,81,143,83
shoulder1,05_01806.jpg,76,76,97,71,134,108
shoulder2,05_01806.jpg,76,76,168,142,113,87
head,05_01807.jpg,60,60,141,81,145,85
shoulder1,05_01807.jpg,76,76,95,69,135,109
shoulder2,05_01807.jpg,76,76,168,142,114,88
head,05_01808.jpg,60,60,141,81,144,84
shoulder1,05_01808.jpg,76,76,95,69,134,108
shoulder2,05_01808.jpg,76,76,168,142,114,88
head,05_01809.jpg,60,60,141,81,143,83
shoulder1,05_01809.jpg,76,76,94,68,132,106
shoulder2,05_01809.jpg,76,76,168,142,114,88
head,05_01810.jpg,60,60,141,81,145,85
shoulder1,05_01810.jpg,76,76,93,67,131,105
shoulder2,05_01810.jpg,76,76,168,142,117,91
head,05_01813.jpg,60,60,142,82,144,84
shoulder1,05_01813.jpg,76,76,93,67,131,105
shoulder2,05_01813.jpg,76,76,168,142,117,91
head,05_01814.jpg,60,60,142,82,146,86
shoulder1,05_01814.jpg,76,76,93,67,132,106
shoulder2,05_01814.jpg,76,76,168,142,118,92
head,05_01815.jpg,60,60,142,82,144,84
shoulder1,05_01815.jpg,76,76,93,67,130,104
shoulder2,05_01815.jpg,76,76,169,143,118,92
head,05_01818.jpg,60,60,143,83,146,86
shoulder1,05_01818.jpg,76,76,98,72,133,107
shoulder2,05_01818.jpg,76,76,170,144,117,91
head,05_01819.jpg,60,60,143,83,147,87
shoulder1,05_01819.jpg,76,76,99,73,132,106
shoulder2,05_01819.jpg,76,76,170,144,117,91
head,05_01820.jpg,60,60,143,83,150,90
shoulder1,05_01820.jpg,76,76,98,72,132,106
shoulder2,05_01820.jpg,76,76,170,144,118,92
head,05_01821.jpg,60,60,143,83,149,89
shoulder1,05_01821.jpg,76,76,96,70,131,105
shoulder2,05_01821.jpg,76,76,170,144,119,93
head,05_01822.jpg,60,60,143,83,146,86
shoulder1,05_01822.jpg,76,76,95,69,130,104
shoulder2,05_01822.jpg,76,76,170,144,118,92
head,05_01823.jpg,60,60,142,82,147,87
shoulder1,05_01823.jpg,76,76,95,69,131,105
shoulder2,05_01823.jpg,76,76,170,144,119,93
head,05_01824.jpg,60,60,143,83,147,87
shoulder1,05_01824.jpg,76,76,95,69,131,105
shoulder2,05_01824.jpg,76,76,170,144,119,93
head,05_01825.jpg,60,60,143,83,142,82
shoulder1,05_01825.jpg,76,76,94,68,129,103
shoulder2,05_01825.jpg,76,76,170,144,118,92
head,05_01826.jpg,60,60,142,82,142,82
shoulder1,05_01826.jpg,76,76,93,67,129,103
shoulder2,05_01826.jpg,76,76,169,143,118,92
head,05_01827.jpg,60,60,141,81,142,82
shoulder1,05_01827.jpg,76,76,94,68,130,104
shoulder2,05_01827.jpg,76,76,169,143,117,91
head,05_01828.jpg,60,60,141,81,142,82
shoulder1,05_01828.jpg,76,76,94,68,130,104
shoulder2,05_01828.jpg,76,76,169,143,117,91
head,05_01829.jpg,60,60,141,81,145,85
shoulder1,05_01829.jpg,76,76,94,68,131,105
shoulder2,05_01829.jpg,76,76,169,143,117,91
head,05_01830.jpg,60,60,141,81,146,86
shoulder1,05_01830.jpg,76,76,94,68,132,106
shoulder2,05_01830.jpg,76,76,169,143,117,91
head,05_01831.jpg,60,60,141,81,147,87
shoulder1,05_01831.jpg,76,76,94,68,132,106
shoulder2,05_01831.jpg,76,76,169,143,117,91
head,05_01832.jpg,60,60,141,81,147,87
shoulder1,05_01832.jpg,76,76,94,68,132,106
shoulder2,05_01832.jpg,76,76,169,143,118,92
head,05_01833.jpg,60,60,141,81,145,85
shoulder1,05_01833.jpg,76,76,93,67,131,105
shoulder2,05_01833.jpg,76,76,168,142,118,92
head,05_01834.jpg,60,60,141,81,147,87
shoulder1,05_01834.jpg,76,76,93,67,132,106
shoulder2,05_01834.jpg,76,76,168,142,118,92
head,05_01835.jpg,60,60,140,80,142,82
shoulder1,05_01835.jpg,76,76,93,67,131,105
shoulder2,05_01835.jpg,76,76,168,142,115,89
head,05_01836.jpg,60,60,137,77,142,82
shoulder1,05_01836.jpg,76,76,94,68,133,107
shoulder2,05_01836.jpg,76,76,166,140,115,89
head,05_01839.jpg,60,60,139,79,145,85
shoulder1,05_01839.jpg,76,76,95,69,133,107
shoulder2,05_01839.jpg,76,76,167,141,115,89
head,05_01840.jpg,60,60,140,80,147,87
shoulder1,05_01840.jpg,76,76,94,68,133,107
shoulder2,05_01840.jpg,76,76,168,142,116,90
head,05_01842.jpg,60,60,140,80,144,84
shoulder1,05_01842.jpg,76,76,94,68,132,106
shoulder2,05_01842.jpg,76,76,168,142,115,89
head,05_01844.jpg,60,60,140,80,141,81
shoulder1,05_01844.jpg,76,76,93,67,132,106
shoulder2,05_01844.jpg,76,76,167,141,113,87
head,05_01845.jpg,60,60,140,80,142,82
shoulder1,05_01845.jpg,76,76,93,67,132,106
shoulder2,05_01845.jpg,76,76,166,140,112,86
head,05_01846.jpg,60,60,140,80,145,85
shoulder1,05_01846.jpg,76,76,93,67,133,107
shoulder2,05_01846.jpg,76,76,166,140,113,87
head,05_01847.jpg,60,60,141,81,143,83
shoulder1,05_01847.jpg,76,76,94,68,132,106
shoulder2,05_01847.jpg,76,76,167,141,113,87
head,05_01848.jpg,60,60,141,81,140,80
shoulder1,05_01848.jpg,76,76,94,68,131,105
shoulder2,05_01848.jpg,76,76,168,142,111,85
head,05_01849.jpg,60,60,140,80,138,78
shoulder1,05_01849.jpg,76,76,95,69,131,105
shoulder2,05_01849.jpg,76,76,168,142,110,84
head,05_01850.jpg,60,60,139,79,137,77
shoulder1,05_01850.jpg,76,76,95,69,131,105
shoulder2,05_01850.jpg,76,76,168,142,110,84
head,05_01851.jpg,60,60,139,79,137,77
shoulder1,05_01851.jpg,76,76,94,68,132,106
shoulder2,05_01851.jpg,76,76,167,141,109,83
head,05_01852.jpg,60,60,139,79,140,80
shoulder1,05_01852.jpg,76,76,94,68,132,106
shoulder2,05_01852.jpg,76,76,167,141,110,84
head,05_01853.jpg,60,60,139,79,138,78
shoulder1,05_01853.jpg,76,76,93,67,131,105
shoulder2,05_01853.jpg,76,76,167,141,110,84
head,05_01854.jpg,60,60,138,78,140,80
shoulder1,05_01854.jpg,76,76,92,66,130,104
shoulder2,05_01854.jpg,76,76,166,140,112,86
head,05_01855.jpg,60,60,136,76,138,78
shoulder1,05_01855.jpg,76,76,91,65,128,102
shoulder2,05_01855.jpg,76,76,166,140,112,86
head,05_01856.jpg,60,60,136,76,140,80
shoulder1,05_01856.jpg,76,76,90,64,129,103
shoulder2,05_01856.jpg,76,76,165,139,113,87
head,05_01857.jpg,60,60,134,74,141,81
shoulder1,05_01857.jpg,76,76,88,62,129,103
shoulder2,05_01857.jpg,76,76,163,137,113,87
head,05_01858.jpg,60,60,133,73,142,82
shoulder1,05_01858.jpg,76,76,88,62,131,105
shoulder2,05_01858.jpg,76,76,162,136,113,87
head,05_01859.jpg,60,60,132,72,142,82
shoulder1,05_01859.jpg,76,76,87,61,131,105
shoulder2,05_01859.jpg,76,76,162,136,113,87
head,05_01860.jpg,60,60,131,71,145,85
shoulder1,05_01860.jpg,76,76,87,61,133,107
shoulder2,05_01860.jpg,76,76,161,135,114,88
head,05_01861.jpg,60,60,131,71,146,86
shoulder1,05_01861.jpg,76,76,89,63,132,106
shoulder2,05_01861.jpg,76,76,162,136,113,87
head,05_01862.jpg,60,60,132,72,147,87
shoulder1,05_01862.jpg,76,76,88,62,133,107
shoulder2,05_01862.jpg,76,76,162,136,114,88
head,05_01863.jpg,60,60,132,72,147,87
shoulder1,05_01863.jpg,76,76,88,62,134,108
shoulder2,05_01863.jpg,76,76,162,136,115,89
head,05_01864.jpg,60,60,133,73,147,87
shoulder1,05_01864.jpg,76,76,88,62,133,107
shoulder2,05_01864.jpg,76,76,162,136,116,90
head,05_01865.jpg,60,60,134,74,147,87
shoulder1,05_01865.jpg,76,76,89,63,133,107
shoulder2,05_01865.jpg,76,76,163,137,116,90
head,05_01866.jpg,60,60,134,74,148,88
shoulder1,05_01866.jpg,76,76,88,62,133,107
shoulder2,05_01866.jpg,76,76,163,137,117,91
head,05_01867.jpg,60,60,135,75,150,90
shoulder1,05_01867.jpg,76,76,89,63,135,109
shoulder2,05_01867.jpg,76,76,163,137,117,91
head,05_01868.jpg,60,60,136,76,152,92
shoulder1,05_01868.jpg,76,76,90,64,136,110
shoulder2,05_01868.jpg,76,76,164,138,117,91
head,05_01872.jpg,60,60,139,79,150,90
shoulder1,05_01872.jpg,76,76,92,66,134,108
shoulder2,05_01872.jpg,76,76,166,140,116,90
head,05_01873.jpg,60,60,140,80,151,91
shoulder1,05_01873.jpg,76,76,93,67,136,110
shoulder2,05_01873.jpg,76,76,166,140,117,91
head,05_01874.jpg,60,60,140,80,149,89
shoulder1,05_01874.jpg,76,76,93,67,135,109
shoulder2,05_01874.jpg,76,76,167,141,117,91
head,05_01875.jpg,60,60,140,80,148,88
shoulder1,05_01875.jpg,76,76,93,67,134,108
shoulder2,05_01875.jpg,76,76,167,141,117,91
head,05_01876.jpg,60,60,140,80,145,85
shoulder1,05_01876.jpg,76,76,92,66,134,108
shoulder2,05_01876.jpg,76,76,167,141,117,91
head,05_01877.jpg,60,60,139,79,144,84
shoulder1,05_01877.jpg,76,76,92,66,134,108
shoulder2,05_01877.jpg,76,76,165,139,116,90
head,05_01878.jpg,60,60,140,80,146,86
shoulder1,05_01878.jpg,76,76,92,66,135,109
shoulder2,05_01878.jpg,76,76,165,139,116,90
head,05_01879.jpg,60,60,140,80,147,87
shoulder1,05_01879.jpg,76,76,92,66,136,110
shoulder2,05_01879.jpg,76,76,165,139,116,90
head,05_01880.jpg,60,60,139,79,147,87
shoulder1,05_01880.jpg,76,76,92,66,136,110
shoulder2,05_01880.jpg,76,76,165,139,117,91
head,05_01881.jpg,60,60,139,79,147,87
shoulder1,05_01881.jpg,76,76,92,66,136,110
shoulder2,05_01881.jpg,76,76,165,139,118,92
head,05_01882.jpg,60,60,139,79,151,91
shoulder1,05_01882.jpg,76,76,91,65,137,111
shoulder2,05_01882.jpg,76,76,165,139,119,93
head,05_01886.jpg,60,60,142,82,153,93
shoulder1,05_01886.jpg,76,76,96,70,137,111
shoulder2,05_01886.jpg,76,76,167,141,120,94
head,05_01887.jpg,60,60,142,82,153,93
shoulder1,05_01887.jpg,76,76,96,70,137,111
shoulder2,05_01887.jpg,76,76,166,140,121,95
head,05_01888.jpg,60,60,142,82,153,93
shoulder1,05_01888.jpg,76,76,95,69,137,111
shoulder2,05_01888.jpg,76,76,167,141,122,96
head,05_01889.jpg,60,60,142,82,152,92
shoulder1,05_01889.jpg,76,76,93,67,136,110
shoulder2,05_01889.jpg,76,76,167,141,122,96
head,05_01890.jpg,60,60,141,81,153,93
shoulder1,05_01890.jpg,76,76,92,66,136,110
shoulder2,05_01890.jpg,76,76,167,141,123,97
head,05_01891.jpg,60,60,141,81,153,93
shoulder1,05_01891.jpg,76,76,92,66,136,110
shoulder2,05_01891.jpg,76,76,167,141,123,97
head,05_01892.jpg,60,60,141,81,153,93
shoulder1,05_01892.jpg,76,76,92,66,135,109
shoulder2,05_01892.jpg,76,76,167,141,123,97
head,05_01893.jpg,60,60,142,82,153,93
shoulder1,05_01893.jpg,76,76,92,66,135,109
shoulder2,05_01893.jpg,76,76,167,141,122,96
head,05_01894.jpg,60,60,141,81,148,88
shoulder1,05_01894.jpg,76,76,92,66,134,108
shoulder2,05_01894.jpg,76,76,167,141,120,94
head,05_01895.jpg,60,60,140,80,145,85
shoulder1,05_01895.jpg,76,76,91,65,133,107
shoulder2,05_01895.jpg,76,76,166,140,118,92
head,05_01896.jpg,60,60,141,81,144,84
shoulder1,05_01896.jpg,76,76,92,66,132,106
shoulder2,05_01896.jpg,76,76,167,141,118,92
head,05_01897.jpg,60,60,140,80,143,83
shoulder1,05_01897.jpg,76,76,92,66,131,105
shoulder2,05_01897.jpg,76,76,168,142,119,93
head,05_01898.jpg,60,60,140,80,142,82
shoulder1,05_01898.jpg,76,76,92,66,130,104
shoulder2,05_01898.jpg,76,76,167,141,119,93
head,05_01899.jpg,60,60,140,80,142,82
shoulder1,05_01899.jpg,76,76,91,65,129,103
shoulder2,05_01899.jpg,76,76,167,141,119,93
head,05_01900.jpg,60,60,141,81,142,82
shoulder1,05_01900.jpg,76,76,92,66,129,103
shoulder2,05_01900.jpg,76,76,168,142,118,92
head,05_01901.jpg,60,60,141,81,142,82
shoulder1,05_01901.jpg,76,76,92,66,130,104
shoulder2,05_01901.jpg,76,76,168,142,117,91
head,05_01902.jpg,60,60,142,82,141,81
shoulder1,05_01902.jpg,76,76,93,67,130,104
shoulder2,05_01902.jpg,76,76,169,143,117,91
head,05_01903.jpg,60,60,142,82,145,85
shoulder1,05_01903.jpg,76,76,93,67,131,105
shoulder2,05_01903.jpg,76,76,169,143,117,91
head,05_01904.jpg,60,60,141,81,143,83
shoulder1,05_01904.jpg,76,76,93,67,131,105
shoulder2,05_01904.jpg,76,76,169,143,117,91
head,05_01905.jpg,60,60,141,81,143,83
shoulder1,05_01905.jpg,76,76,94,68,130,104
shoulder2,05_01905.jpg,76,76,169,143,117,91
head,05_01906.jpg,60,60,140,80,140,80
shoulder1,05_01906.jpg,76,76,93,67,129,103
shoulder2,05_01906.jpg,76,76,168,142,116,90
head,05_01907.jpg,60,60,140,80,138,78
shoulder1,05_01907.jpg,76,76,93,67,128,102
shoulder2,05_01907.jpg,76,76,168,142,116,90
head,05_01908.jpg,60,60,140,80,138,78
shoulder1,05_01908.jpg,76,76,93,67,126,100
shoulder2,05_01908.jpg,76,76,168,142,117,91
head,05_01909.jpg,60,60,140,80,137,77
shoulder1,05_01909.jpg,76,76,92,66,126,100
shoulder2,05_01909.jpg,76,76,168,142,117,91
head,05_01910.jpg,60,60,141,81,140,80
shoulder1,05_01910.jpg,76,76,92,66,127,101
shoulder2,05_01910.jpg,76,76,168,142,118,92
head,05_01911.jpg,60,60,142,82,141,81
shoulder1,05_01911.jpg,76,76,92,66,127,101
shoulder2,05_01911.jpg,76,76,168,142,118,92
head,05_01912.jpg,60,60,141,81,139,79
shoulder1,05_01912.jpg,76,76,93,67,127,101
shoulder2,05_01912.jpg,76,76,168,142,117,91
head,05_01913.jpg,60,60,141,81,138,78
shoulder1,05_01913.jpg,76,76,93,67,127,101
shoulder2,05_01913.jpg,76,76,169,143,116,90
head,05_01914.jpg,60,60,141,81,137,77
shoulder1,05_01914.jpg,76,76,94,68,128,102
shoulder2,05_01914.jpg,76,76,169,143,115,89
head,05_01915.jpg,60,60,141,81,137,77
shoulder1,05_01915.jpg,76,76,94,68,129,103
shoulder2,05_01915.jpg,76,76,169,143,114,88
head,05_01916.jpg,60,60,141,81,137,77
shoulder1,05_01916.jpg,76,76,94,68,130,104
shoulder2,05_01916.jpg,76,76,169,143,113,87
head,05_01917.jpg,60,60,141,81,137,77
shoulder1,05_01917.jpg,76,76,94,68,130,104
shoulder2,05_01917.jpg,76,76,168,142,112,86
head,05_01918.jpg,60,60,140,80,137,77
shoulder1,05_01918.jpg,76,76,93,67,129,103
shoulder2,05_01918.jpg,76,76,168,142,114,88
head,05_01919.jpg,60,60,140,80,137,77
shoulder1,05_01919.jpg,76,76,92,66,127,101
shoulder2,05_01919.jpg,76,76,168,142,115,89
head,05_01920.jpg,60,60,140,80,136,76
shoulder1,05_01920.jpg,76,76,92,66,126,100
shoulder2,05_01920.jpg,76,76,168,142,116,90
head,05_01921.jpg,60,60,141,81,136,76
shoulder1,05_01921.jpg,76,76,92,66,126,100
shoulder2,05_01921.jpg,76,76,168,142,116,90
head,05_01922.jpg,60,60,142,82,136,76
shoulder1,05_01922.jpg,76,76,92,66,125,99
shoulder2,05_01922.jpg,76,76,168,142,116,90
head,05_01923.jpg,60,60,142,82,137,77
shoulder1,05_01923.jpg,76,76,92,66,125,99
shoulder2,05_01923.jpg,76,76,168,142,115,89
head,05_01924.jpg,60,60,142,82,136,76
shoulder1,05_01924.jpg,76,76,93,67,126,100
shoulder2,05_01924.jpg,76,76,169,143,114,88
head,05_01925.jpg,60,60,141,81,136,76
shoulder1,05_01925.jpg,76,76,93,67,127,101
shoulder2,05_01925.jpg,76,76,169,143,113,87
head,05_01926.jpg,60,60,141,81,134,74
shoulder1,05_01926.jpg,76,76,94,68,126,100
shoulder2,05_01926.jpg,76,76,169,143,111,85
head,05_01927.jpg,60,60,141,81,132,72
shoulder1,05_01927.jpg,76,76,94,68,127,101
shoulder2,05_01927.jpg,76,76,168,142,110,84
head,05_01928.jpg,60,60,142,82,131,71
shoulder1,05_01928.jpg,76,76,94,68,126,100
shoulder2,05_01928.jpg,76,76,169,143,109,83
head,05_01929.jpg,60,60,142,82,132,72
shoulder1,05_01929.jpg,76,76,94,68,124,98
shoulder2,05_01929.jpg,76,76,169,143,110,84
head,05_01930.jpg,60,60,142,82,134,74
shoulder1,05_01930.jpg,76,76,93,67,124,98
shoulder2,05_01930.jpg,76,76,169,143,113,87
head,05_01931.jpg,60,60,141,81,133,73
shoulder1,05_01931.jpg,76,76,93,67,123,97
shoulder2,05_01931.jpg,76,76,168,142,114,88
head,05_01932.jpg,60,60,141,81,135,75
shoulder1,05_01932.jpg,76,76,92,66,123,97
shoulder2,05_01932.jpg,76,76,168,142,114,88
head,05_01933.jpg,60,60,141,81,136,76
shoulder1,05_01933.jpg,76,76,91,65,123,97
